Vp,	T,	n,	j
3599.9999999999995,	23335.555555555555,	1e+20,	-1797037.2046583884
3599.9999999999995,	26667.777777777774,	1e+20,	-1781502.9985843133
3599.9999999999995,	30000.0,	1e+20,	-1774388.0735246742
4666.666666666667,	10.0,	1e+20,	0
4666.666666666667,	3342.2222222222217,	1e+20,	-3834880.2016883595
4666.666666666667,	6674.444444444443,	1e+20,	-2930501.846317042
4666.666666666667,	10006.666666666666,	1e+20,	-2559651.4472136167
4666.666666666667,	13338.888888888887,	1e+20,	-2359676.998148806
4666.666666666667,	16671.11111111111,	1e+20,	-2237992.2204745915
4666.666666666667,	20003.333333333332,	1e+20,	-2159208.7935567973
4666.666666666667,	23335.555555555555,	1e+20,	-2106573.696721343
4666.666666666667,	26667.777777777774,	1e+20,	-2071077.409269829
4666.666666666667,	30000.0,	1e+20,	-2047415.3721205718
5733.333333333333,	10.0,	1e+20,	0
5733.333333333333,	3342.2222222222217,	1e+20,	-4626720.266731627
5733.333333333333,	6674.444444444443,	1e+20,	-3505135.2241054405
5733.333333333333,	10006.666666666666,	1e+20,	-3031023.747001657
5733.333333333333,	13338.888888888887,	1e+20,	-2768572.1340189157
5733.333333333333,	16671.11111111111,	1e+20,	-2603999.617300438
5733.333333333333,	20003.333333333332,	1e+20,	-2493424.34574185
5733.333333333333,	23335.555555555555,	1e+20,	-2416053.878954981
5733.333333333333,	26667.777777777774,	1e+20,	-2360608.924234223
5733.333333333333,	30000.0,	1e+20,	-2320418.858074353
6799.999999999999,	10.0,	1e+20,	0
6799.999999999999,	3342.2222222222217,	1e+20,	-5406248.456172039
6799.999999999999,	6674.444444444443,	1e+20,	-4077710.2303126715
6799.999999999999,	10006.666666666666,	1e+20,	-3501620.297316371
6799.999999999999,	13338.888888888887,	1e+20,	-3177094.3993930346
6799.999999999999,	16671.11111111111,	1e+20,	-2969808.706510814
6799.999999999999,	20003.333333333332,	1e+20,	-2827558.454201576
6799.999999999999,	23335.555555555555,	1e+20,	-2725478.3138863565
6799.999999999999,	26667.777777777774,	1e+20,	-2650093.075593208
6799.999999999999,	30000.0,	1e+20,	-2593382.2641532198
7866.666666666666,	10.0,	1e+20,	0
7866.666666666666,	3342.2222222222217,	1e+20,	-6170688.302297074
7866.666666666666,	6674.444444444443,	1e+20,	-4647824.970109344
7866.666666666666,	10006.666666666666,	1e+20,	-3971335.2296406874
7866.666666666666,	13338.888888888887,	1e+20,	-3585197.890056906
7866.666666666666,	16671.11111111111,	1e+20,	-3335353.5243209847
7866.666666666666,	20003.333333333332,	1e+20,	-3161542.3985153465
7866.666666666666,	23335.555555555555,	1e+20,	-3034838.065953281
7866.666666666666,	26667.777777777774,	1e+20,	-2939534.4015138736
7866.666666666666,	30000.0,	1e+20,	-2866307.210459659
8933.333333333334,	10.0,	1e+20,	0
8933.333333333334,	3342.2222222222217,	1e+20,	-6917919.989696449
8933.333333333334,	6674.444444444443,	1e+20,	-5214921.964869249
8933.333333333334,	10006.666666666666,	1e+20,	-4440065.841532155
8933.333333333334,	13338.888888888887,	1e+20,	-3992774.2945711007
8933.333333333334,	16671.11111111111,	1e+20,	-3700627.774014558
8933.333333333334,	20003.333333333332,	1e+20,	-3495330.811467063
8933.333333333334,	23335.555555555555,	1e+20,	-3344073.509718203
8933.333333333334,	26667.777777777774,	1e+20,	-3228921.346940539
8933.333333333334,	30000.0,	1e+20,	-3139195.378664696
10000.0,	10.0,	1e+20,	0
10000.0,	3342.2222222222217,	1e+20,	-7645996.453262754
10000.0,	6674.444444444443,	1e+20,	-5778543.291001252
10000.0,	10006.666666666666,	1e+20,	-4907609.322936115
10000.0,	13338.888888888887,	1e+20,	-4399777.09975176
10000.0,	16671.11111111111,	1e+20,	-4065572.459239493
10000.0,	20003.333333333332,	1e+20,	-3828917.9122993727
10000.0,	23335.555555555555,	1e+20,	-3653167.0644953977
10000.0,	26667.777777777774,	1e+20,	-3518205.8145419364
10000.0,	30000.0,	1e+20,	-3412036.2308017584
400.0,	10.0,	5e+20,	-3569950.0437207543
400.0,	3342.2222222222217,	5e+20,	-2957064.5761612006
400.0,	6674.444444444443,	5e+20,	-3096809.7978956923
400.0,	10006.666666666666,	5e+20,	-3349381.393205986
400.0,	13338.888888888887,	5e+20,	-3611435.8453428573
400.0,	16671.11111111111,	5e+20,	-3865882.5904233833
400.0,	20003.333333333332,	5e+20,	-4109366.3619523332
400.0,	23335.555555555555,	5e+20,	-4341796.296107075
400.0,	26667.777777777774,	5e+20,	-4563931.756413302
400.0,	30000.0,	5e+20,	-4776722.795773042
1466.6666666666665,	10.0,	5e+20,	-7050790.395331569
1466.6666666666665,	3342.2222222222217,	5e+20,	-7044190.099088891
1466.6666666666665,	6674.444444444443,	5e+20,	-5990834.673285654
1466.6666666666665,	10006.666666666666,	5e+20,	-5713058.436809947
1466.6666666666665,	13338.888888888887,	5e+20,	-5658652.452466867
1466.6666666666665,	16671.11111111111,	5e+20,	-5697046.286487209
1466.6666666666665,	20003.333333333332,	5e+20,	-5780997.200162953
1466.6666666666665,	23335.555555555555,	5e+20,	-5889447.72880272
1466.6666666666665,	26667.777777777774,	5e+20,	-6011639.669090926
1466.6666666666665,	30000.0,	5e+20,	-6141645.259261951
2533.3333333333335,	10.0,	5e+20,	0
2533.3333333333335,	3342.2222222222217,	5e+20,	-11116931.962200323
2533.3333333333335,	6674.444444444443,	5e+20,	-8883092.492043098
2533.3333333333335,	10006.666666666666,	5e+20,	-8076277.290088761
2533.3333333333335,	13338.888888888887,	5e+20,	-7705854.555398094
2533.3333333333335,	16671.11111111111,	5e+20,	-7528352.464754728
2533.3333333333335,	20003.333333333332,	5e+20,	-7452858.234281621
2533.3333333333335,	23335.555555555555,	5e+20,	-7437327.806445574
2533.3333333333335,	26667.777777777774,	5e+20,	-7459563.9404143505
2533.3333333333335,	30000.0,	5e+20,	-7506763.0984200295
3599.9999999999995,	10.0,	5e+20,	0
3599.9999999999995,	3342.2222222222217,	5e+20,	-15164341.997044472
3599.9999999999995,	6674.444444444443,	5e+20,	-11771004.515737604
3599.9999999999995,	10006.666666666666,	5e+20,	-10438378.617542522
3599.9999999999995,	13338.888888888887,	5e+20,	-9752479.565703511
3599.9999999999995,	16671.11111111111,	5e+20,	-9359386.564642208
3599.9999999999995,	20003.333333333332,	5e+20,	-9124612.581325922
3599.9999999999995,	23335.555555555555,	5e+20,	-8985181.036279168
3599.9999999999995,	26667.777777777774,	5e+20,	-8907511.239312481
3599.9999999999995,	30000.0,	5e+20,	-8871937.448529338
4666.666666666667,	10.0,	5e+20,	0
4666.666666666667,	3342.2222222222217,	5e+20,	-19173823.645867284
4666.666666666667,	6674.444444444443,	5e+20,	-14652400.051829487
4666.666666666667,	10006.666666666666,	5e+20,	-12798215.526115233
4666.666666666667,	13338.888888888887,	5e+20,	-11798363.752611578
4666.666666666667,	16671.11111111111,	5e+20,	-11189948.314980976
4666.666666666667,	20003.333333333332,	5e+20,	-10796035.544569124
4666.666666666667,	23335.555555555555,	5e+20,	-10532862.203672623
4666.666666666667,	26667.777777777774,	5e+20,	-10355382.556465272
4666.666666666667,	30000.0,	5e+20,	-10237073.403284393
5733.333333333333,	10.0,	5e+20,	0
5733.333333333333,	3342.2222222222217,	5e+20,	-23132905.556397703
5733.333333333333,	6674.444444444443,	5e+20,	-17525544.6745959
5733.333333333333,	10006.666666666666,	5e+20,	-15155068.786589475
5733.333333333333,	13338.888888888887,	5e+20,	-13842835.399871945
5733.333333333333,	16671.11111111111,	5e+20,	-13019983.013672668
5733.333333333333,	20003.333333333332,	5e+20,	-12467111.826942962
5733.333333333333,	23335.555555555555,	5e+20,	-12080262.411922641
5733.333333333333,	26667.777777777774,	5e+20,	-11803039.459650615
5733.333333333333,	30000.0,	5e+20,	-11602090.324668335
6799.999999999999,	10.0,	5e+20,	0
6799.999999999999,	3342.2222222222217,	5e+20,	-27030432.28185552
6799.999999999999,	6674.444444444443,	5e+20,	-20388397.52482516
6799.999999999999,	10006.666666666666,	5e+20,	-17508043.454178646
6799.999999999999,	13338.888888888887,	5e+20,	-15885442.788252078
6799.999999999999,	16671.11111111111,	5e+20,	-14849026.189379886
6799.999999999999,	20003.333333333332,	5e+20,	-14137780.92189081
6799.999999999999,	23335.555555555555,	5e+20,	-13627383.674352186
6799.999999999999,	26667.777777777774,	5e+20,	-13250459.511174837
6799.999999999999,	30000.0,	5e+20,	-12966906.801570455
7866.666666666666,	10.0,	5e+20,	0
7866.666666666666,	3342.2222222222217,	5e+20,	-30852524.308110606
7866.666666666666,	6674.444444444443,	5e+20,	-23238948.99347796
7866.666666666666,	10006.666666666666,	5e+20,	-19856611.04001874
7866.666666666666,	13338.888888888887,	5e+20,	-17925956.165021796
7866.666666666666,	16671.11111111111,	5e+20,	-16676747.991255993
7866.666666666666,	20003.333333333332,	5e+20,	-15807699.2507319
7866.666666666666,	23335.555555555555,	5e+20,	-15174181.392276522
7866.666666666666,	26667.777777777774,	5e+20,	-14697665.436597692
7866.666666666666,	30000.0,	5e+20,	-14331530.991979899
8933.333333333334,	10.0,	5e+20,	0
8933.333333333334,	3342.2222222222217,	5e+20,	-34588579.838910736
8933.333333333334,	6674.444444444443,	5e+20,	-26074413.103420585
8933.333333333334,	10006.666666666666,	5e+20,	-22200255.034008406
8933.333333333334,	13338.888888888887,	5e+20,	-19963834.159536965
8933.333333333334,	16671.11111111111,	5e+20,	-18503116.991518795
8933.333333333334,	20003.333333333332,	5e+20,	-17476639.80535702
8933.333333333334,	23335.555555555555,	5e+20,	-16720357.608865093
8933.333333333334,	26667.777777777774,	5e+20,	-16144599.479463162
8933.333333333334,	30000.0,	5e+20,	-15695971.358790796
10000.0,	10.0,	5e+20,	0
10000.0,	3342.2222222222217,	5e+20,	-38228863.54101245
10000.0,	6674.444444444443,	5e+20,	-28892498.3779274
10000.0,	10006.666666666666,	5e+20,	-24537964.53117787
10000.0,	13338.888888888887,	5e+20,	-21998844.299503926
10000.0,	16671.11111111111,	5e+20,	-20327838.14623236
10000.0,	20003.333333333332,	5e+20,	-19144573.883474972
10000.0,	23335.555555555555,	5e+20,	-18265824.40286118
10000.0,	26667.777777777774,	5e+20,	-17591021.082224477
10000.0,	30000.0,	5e+20,	-17060175.13823771
400.0,	10.0,	1e+21,	-4400244.082210067
400.0,	3342.2222222222217,	1e+21,	-5913932.498952239
400.0,	6674.444444444443,	1e+21,	-6193571.338915529
400.0,	10006.666666666666,	1e+21,	-6698740.353692973
400.0,	13338.888888888887,	1e+21,	-7222858.294926447
400.0,	16671.11111111111,	1e+21,	-7731756.1340117715
400.0,	20003.333333333332,	1e+21,	-8218726.137088421
400.0,	23335.555555555555,	1e+21,	-8683587.535025956
400.0,	26667.777777777774,	1e+21,	-9127859.434815172
400.0,	30000.0,	1e+21,	-9553442.17634978
1466.6666666666665,	10.0,	1e+21,	-12815855.938057037
1466.6666666666665,	3342.2222222222217,	1e+21,	-14087866.901164915
1466.6666666666665,	6674.444444444443,	1e+21,	-11981565.733480997
1466.6666666666665,	10006.666666666666,	1e+21,	-11426073.971838256
1466.6666666666665,	13338.888888888887,	1e+21,	-11317281.539592938
1466.6666666666665,	16671.11111111111,	1e+21,	-11394077.905548444
1466.6666666666665,	20003.333333333332,	1e+21,	-11561984.176310232
1466.6666666666665,	23335.555555555555,	1e+21,	-11778887.913793229
1466.6666666666665,	26667.777777777774,	1e+21,	-12023273.379661385
1466.6666666666665,	30000.0,	1e+21,	-12283285.839514352
2533.3333333333335,	10.0,	1e+21,	-14298185.820483396
2533.3333333333335,	3342.2222222222217,	1e+21,	-22233034.227381736
2533.3333333333335,	6674.444444444443,	1e+21,	-17766023.93534315
2533.3333333333335,	10006.666666666666,	1e+21,	-16152491.037199784
2533.3333333333335,	13338.888888888887,	1e+21,	-15411675.886898246
2533.3333333333335,	16671.11111111111,	1e+21,	-15056684.491344092
2533.3333333333335,	20003.333333333332,	1e+21,	-14905702.539484056
2533.3333333333335,	23335.555555555555,	1e+21,	-14874645.571884092
2533.3333333333335,	26667.777777777774,	1e+21,	-14919120.326023698
2533.3333333333335,	30000.0,	1e+21,	-15013520.154846866
3599.9999999999995,	10.0,	1e+21,	0
3599.9999999999995,	3342.2222222222217,	1e+21,	-30327543.978219405
3599.9999999999995,	6674.444444444443,	1e+21,	-23541791.726572078
3599.9999999999995,	10006.666666666666,	1e+21,	-20876673.214779485
3599.9999999999995,	13338.888888888887,	1e+21,	-19504915.891224448
3599.9999999999995,	16671.11111111111,	1e+21,	-18718746.996112455
3599.9999999999995,	20003.333333333332,	1e+21,	-18249207.727321994
3599.9999999999995,	23335.555555555555,	1e+21,	-17970349.607416976
3599.9999999999995,	26667.777777777774,	1e+21,	-17815013.106993742
3599.9999999999995,	30000.0,	1e+21,	-17743867.574058294
4666.666666666667,	10.0,	1e+21,	0
4666.666666666667,	3342.2222222222217,	1e+21,	-38346203.62018994
4666.666666666667,	6674.444444444443,	1e+21,	-29304526.440947562
4666.666666666667,	10006.666666666666,	1e+21,	-25596326.605510525
4666.666666666667,	13338.888888888887,	1e+21,	-23596674.259678856
4666.666666666667,	16671.11111111111,	1e+21,	-22379864.597255353
4666.666666666667,	20003.333333333332,	1e+21,	-21592049.92326732
4666.666666666667,	23335.555555555555,	1e+21,	-21065709.440303184
4666.666666666667,	26667.777777777774,	1e+21,	-20710753.856411073
4666.666666666667,	30000.0,	1e+21,	-20474138.126184314
5733.333333333333,	10.0,	1e+21,	0
5733.333333333333,	3342.2222222222217,	1e+21,	-46264070.6745517
5733.333333333333,	6674.444444444443,	1e+21,	-35050760.741412014
5733.333333333333,	10006.666666666666,	1e+21,	-30310012.753988143
5733.333333333333,	13338.888888888887,	1e+21,	-27685605.931647386
5733.333333333333,	16671.11111111111,	1e+21,	-26039928.30757421
5733.333333333333,	20003.333333333332,	1e+21,	-24934199.038939465
5733.333333333333,	23335.555555555555,	1e+21,	-24160507.308036614
5733.333333333333,	26667.777777777774,	1e+21,	-23606066.12013019
5733.333333333333,	30000.0,	1e+21,	-23204170.686289866
6799.999999999999,	10.0,	1e+21,	0
6799.999999999999,	3342.2222222222217,	1e+21,	-54058841.652942374
6799.999999999999,	6674.444444444443,	1e+21,	-40776411.009529665
6799.999999999999,	10006.666666666666,	1e+21,	-35015941.92509218
6799.999999999999,	13338.888888888887,	1e+21,	-31770812.46764744
6799.999999999999,	16671.11111111111,	1e+21,	-29698009.077765234
6799.999999999999,	20003.333333333332,	1e+21,	-28275533.532789674
6799.999999999999,	23335.555555555555,	1e+21,	-27254747.312879145
6799.999999999999,	26667.777777777774,	1e+21,	-26500904.268211883
6799.999999999999,	30000.0,	1e+21,	-25933802.63049709
7866.666666666666,	10.0,	1e+21,	0
7866.666666666666,	3342.2222222222217,	1e+21,	-61702755.03552771
7866.666666666666,	6674.444444444443,	1e+21,	-46477460.241886705
7866.666666666666,	10006.666666666666,	1e+21,	-39713056.85193798
7866.666666666666,	13338.888888888887,	1e+21,	-35851829.11437676
7866.666666666666,	16671.11111111111,	1e+21,	-33353446.908708487
7866.666666666666,	20003.333333333332,	1e+21,	-31615366.44014593
7866.666666666666,	23335.555555555555,	1e+21,	-30348340.57089726
7866.666666666666,	26667.777777777774,	1e+21,	-29395315.222782258
7866.666666666666,	30000.0,	1e+21,	-28663049.391859047
8933.333333333334,	10.0,	1e+21,	0
8933.333333333334,	3342.2222222222217,	1e+21,	-69174608.52205373
8933.333333333334,	6674.444444444443,	1e+21,	-52148334.28901262
8933.333333333334,	10006.666666666666,	1e+21,	-44400324.90186532
8933.333333333334,	13338.888888888887,	1e+21,	-39927575.448234774
8933.333333333334,	16671.11111111111,	1e+21,	-37006179.477470994
8933.333333333334,	20003.333333333332,	1e+21,	-34953243.891726404
8933.333333333334,	23335.555555555555,	1e+21,	-33440690.36828232
8933.333333333334,	26667.777777777774,	1e+21,	-32289180.747255705
8933.333333333334,	30000.0,	1e+21,	-31391928.825689726
10000.0,	10.0,	1e+21,	0
10000.0,	3342.2222222222217,	1e+21,	-76454934.6230115
10000.0,	6674.444444444443,	1e+21,	-57784451.50674133
10000.0,	10006.666666666666,	1e+21,	-49075723.337510884
10000.0,	13338.888888888887,	1e+21,	-43997585.66274883
10000.0,	16671.11111111111,	1e+21,	-40655615.82802773
10000.0,	20003.333333333332,	1e+21,	-38289108.54233971
10000.0,	23335.555555555555,	1e+21,	-36531621.623312704
10000.0,	26667.777777777774,	1e+21,	-35182022.17166496
10000.0,	30000.0,	1e+21,	-34120335.07366053
400.0,	10.0,	1e+22,	-4973224.264316871
400.0,	3342.2222222222217,	1e+22,	-59104076.650305614
400.0,	6674.444444444443,	1e+22,	-61927008.38537359
400.0,	10006.666666666666,	1e+22,	-66983305.28690145
400.0,	13338.888888888887,	1e+22,	-72226186.94168301
400.0,	16671.11111111111,	1e+22,	-77315939.52290726
400.0,	20003.333333333332,	1e+22,	-82186081.61913092
400.0,	23335.555555555555,	1e+22,	-86834960.85861836
400.0,	26667.777777777774,	1e+22,	-91277860.6197099
400.0,	30000.0,	1e+22,	-95533818.44434723
1466.6666666666665,	10.0,	1e+22,	-18061323.390328314
1466.6666666666665,	3342.2222222222217,	1e+22,	-140786245.61006674
1466.6666666666665,	6674.444444444443,	1e+22,	-119796790.8436401
1466.6666666666665,	10006.666666666666,	1e+22,	-114253013.2261015
1466.6666666666665,	13338.888888888887,	1e+22,	-113168603.72282784
1466.6666666666665,	16671.11111111111,	1e+22,	-113938121.69610986
1466.6666666666665,	20003.333333333332,	1e+22,	-115618004.54279071
1466.6666666666665,	23335.555555555555,	1e+22,	-117787518.11871666
1466.6666666666665,	26667.777777777774,	1e+22,	-120231682.83537377
1466.6666666666665,	30000.0,	1e+22,	-122832019.71594319
2533.3333333333335,	10.0,	1e+22,	-31077348.470509976
2533.3333333333335,	3342.2222222222217,	1e+22,	-222181234.75034136
2533.3333333333335,	6674.444444444443,	1e+22,	-177631238.07723007
2533.3333333333335,	10006.666666666666,	1e+22,	-161513478.7886514
2533.3333333333335,	13338.888888888887,	1e+22,	-154110777.85838544
2533.3333333333335,	16671.11111111111,	1e+22,	-150563132.55136913
2533.3333333333335,	20003.333333333332,	1e+22,	-149054537.01657423
2533.3333333333335,	23335.555555555555,	1e+22,	-148744656.40166888
2533.3333333333335,	26667.777777777774,	1e+22,	-149189831.81525576
2533.3333333333335,	30000.0,	1e+22,	-150134125.56530833
3599.9999999999995,	10.0,	1e+22,	-43987737.77281385
3599.9999999999995,	3342.2222222222217,	1e+22,	-303070407.0371895
3599.9999999999995,	6674.444444444443,	1e+22,	-235378795.19683415
3599.9999999999995,	10006.666666666666,	1e+22,	-208751594.26857558
3599.9999999999995,	13338.888888888887,	1e+22,	-195041356.47687617
3599.9999999999995,	16671.11111111111,	1e+22,	-187182759.64395866
3599.9999999999995,	20003.333333333332,	1e+22,	-182488949.85252488
3599.9999999999995,	23335.555555555555,	1e+22,	-179701250.2649785
3599.9999999999995,	26667.777777777774,	1e+22,	-178148445.62245998
3599.9999999999995,	30000.0,	1e+22,	-177437365.4120194
4666.666666666667,	10.0,	1e+22,	-56768873.52676026
4666.666666666667,	3342.2222222222217,	1e+22,	-383202368.9937102
4666.666666666667,	6674.444444444443,	1e+22,	-292996084.62363535
4666.666666666667,	10006.666666666666,	1e+22,	-255944446.7269552
4666.666666666667,	13338.888888888887,	1e+22,	-235957137.0446241
4666.666666666667,	16671.11111111111,	1e+22,	-223792897.1818534
4666.666666666667,	20003.333333333332,	1e+22,	-215916700.9850112
4666.666666666667,	23335.555555555555,	1e+22,	-210654402.48214254
4666.666666666667,	26667.777777777774,	1e+22,	-207105527.85877335
4666.666666666667,	30000.0,	1e+22,	-204739825.0709274
5733.333333333333,	10.0,	1e+22,	-69428584.29277624
5733.333333333333,	3342.2222222222217,	1e+22,	-462327969.8557668
5733.333333333333,	6674.444444444443,	1e+22,	-350448431.73652184
5733.333333333333,	10006.666666666666,	1e+22,	-303077680.42168266
5733.333333333333,	13338.888888888887,	1e+22,	-276844679.78882694
5733.333333333333,	16671.11111111111,	1e+22,	-260392509.39166227
5733.333333333333,	20003.333333333332,	1e+22,	-249337515.3683906
5733.333333333333,	23335.555555555555,	1e+22,	-241601956.7399438
5733.333333333333,	26667.777777777774,	1e+22,	-236058337.227324
5733.333333333333,	30000.0,	1e+22,	-232039920.5742769
6799.999999999999,	10.0,	1e+22,	-81942844.25742368
6799.999999999999,	3342.2222222222217,	1e+22,	-540224376.8844788
6799.999999999999,	6674.444444444443,	1e+22,	-407695020.4587653
6799.999999999999,	10006.666666666666,	1e+22,	-350133285.44277525
6799.999999999999,	13338.888888888887,	1e+22,	-317694914.3683641
6799.999999999999,	16671.11111111111,	1e+22,	-296972291.75272125
6799.999999999999,	20003.333333333332,	1e+22,	-282750234.88544416
6799.999999999999,	23335.555555555555,	1e+22,	-272543890.3183084
6799.999999999999,	26667.777777777774,	1e+22,	-265006396.52943757
6799.999999999999,	30000.0,	1e+22,	-259336000.2473181
7866.666666666666,	10.0,	1e+22,	-94318194.16502523
7866.666666666666,	3342.2222222222217,	1e+22,	-616614804.8535905
7866.666666666666,	6674.444444444443,	1e+22,	-464695710.9261447
7866.666666666666,	10006.666666666666,	1e+22,	-397100819.2537337
7866.666666666666,	13338.888888888887,	1e+22,	-358503297.1147843
7866.666666666666,	16671.11111111111,	1e+22,	-333525642.41603583
7866.666666666666,	20003.333333333332,	1e+22,	-316147906.5801351
7866.666666666666,	23335.555555555555,	1e+22,	-303479373.4555753
7866.666666666666,	26667.777777777774,	1e+22,	-293950196.67897385
7866.666666666666,	30000.0,	1e+22,	-286628238.3602923
8933.333333333334,	10.0,	1e+22,	-106507378.15663522
8933.333333333334,	3342.2222222222217,	1e+22,	-691287036.0604042
8933.333333333334,	6674.444444444443,	1e+22,	-521394781.9788955
8933.333333333334,	10006.666666666666,	1e+22,	-443969881.5776567
8933.333333333334,	13338.888888888887,	1e+22,	-399258976.8139231
8933.333333333334,	16671.11111111111,	1e+22,	-370051951.22312796
8933.333333333334,	20003.333333333332,	1e+22,	-349526023.46345884
8933.333333333334,	23335.555555555555,	1e+22,	-334402438.67268896
8933.333333333334,	26667.777777777774,	1e+22,	-322888528.73817974
8933.333333333334,	30000.0,	1e+22,	-313916789.25074214
10000.0,	10.0,	1e+22,	-118411430.45569079
10000.0,	3342.2222222222217,	1e+22,	-764046974.7682917
10000.0,	6674.444444444443,	1e+22,	-577746392.2581192
10000.0,	10006.666666666666,	1e+22,	-490720255.9732992
10000.0,	13338.888888888887,	1e+22,	-439957303.98113495
10000.0,	16671.11111111111,	1e+22,	-406545321.9736407
10000.0,	20003.333333333332,	1e+22,	-382884006.54057986
10000.0,	23335.555555555555,	1e+22,	-365311302.73069334
10000.0,	26667.777777777774,	1e+22,	-351816629.40678513
10000.0,	30000.0,	1e+22,	-341200619.6101188
400.0,	10.0,	6e+22,	-5041940.487810758
400.0,	3342.2222222222217,	6e+22,	-353452446.34197754
400.0,	6674.444444444443,	6e+22,	-371272082.16630197
400.0,	10006.666666666666,	6e+22,	-401765057.5686567
400.0,	13338.888888888887,	6e+22,	-433277019.73499817
400.0,	16671.11111111111,	6e+22,	-463841493.44500893
400.0,	20003.333333333332,	6e+22,	-493076921.51455
400.0,	23335.555555555555,	6e+22,	-520979275.6924048
400.0,	26667.777777777774,	6e+22,	-547642446.6374081
400.0,	30000.0,	6e+22,	-573182828.7874403
1466.6666666666665,	10.0,	6e+22,	-18317740.596839953
1466.6666666666665,	3342.2222222222217,	6e+22,	-841646562.8162745
1466.6666666666665,	6674.444444444443,	6e+22,	-718152673.6109065
1466.6666666666665,	10006.666666666666,	6e+22,	-685259907.7093744
1466.6666666666665,	13338.888888888887,	6e+22,	-678871253.8695296
1466.6666666666665,	16671.11111111111,	6e+22,	-683539902.2167811
1466.6666666666665,	20003.333333333332,	6e+22,	-693646451.7770932
1466.6666666666665,	23335.555555555555,	6e+22,	-706679743.7964882
1466.6666666666665,	26667.777777777774,	6e+22,	-721355021.6830231
1466.6666666666665,	30000.0,	6e+22,	-736964187.2937202
2533.3333333333335,	10.0,	6e+22,	-31591922.996308908
2533.3333333333335,	3342.2222222222217,	6e+22,	-1328134495.5592167
2533.3333333333335,	6674.444444444443,	6e+22,	-1064821356.9859328
2533.3333333333335,	10006.666666666666,	6e+22,	-968699672.7185916
2533.3333333333335,	13338.888888888887,	6e+22,	-924464547.1451151
2533.3333333333335,	16671.11111111111,	6e+22,	-903255771.1006551
2533.3333333333335,	20003.333333333332,	6e+22,	-894244082.6808622
2533.3333333333335,	23335.555555555555,	6e+22,	-892407474.7733403
2533.3333333333335,	26667.777777777774,	6e+22,	-895093215.2130641
2533.3333333333335,	30000.0,	6e+22,	-900768849.4119437
3599.9999999999995,	10.0,	6e+22,	-44863390.7956707
3599.9999999999995,	3342.2222222222217,	6e+22,	-1811610000.267997
3599.9999999999995,	6674.444444444443,	6e+22,	-1410970047.3964336
3599.9999999999995,	10006.666666666666,	6e+22,	-1252005565.5485122
3599.9999999999995,	13338.888888888887,	6e+22,	-1169988080.3481064
3599.9999999999995,	16671.11111111111,	6e+22,	-1122939411.1121345
3599.9999999999995,	20003.333333333332,	6e+22,	-1094828654.1229794
3599.9999999999995,	23335.555555555555,	6e+22,	-1078132459.5962925
3599.9999999999995,	26667.777777777774,	6e+22,	-1068834671.7743509
